Symbol,Company Name,Exchange
AMJUMBO,A AND M JUMBO BAGS LTD,NSE
ABCOTS,A B COTSPIN INDIA LIMITED,NSE
ABINFRA,A B INFRABUILD LIMITED,NSE
AGUL,A G UNIVERSAL LIMITED,NSE
A2ZINFRA,A2Z INFRA ENGINEERING LTD,NSE
A2ZMES,A2Z MNT. & ENG. SERV LTD,NSE
AAATECH,AAA TECHNOLOGIES LIMITED,NSE
AADHARHFC,AADHAR HOUSING FINANCE L,NSE
AAKASH,AAKASH EXPLORATION SER L,NSE
AANJANEYA,AANJANEYA LIFECARE LTD,NSE
AAREYDRUGS,AAREY DRUGS & PHARM LTD,NSE
AARON,AARON INDUSTRIES LIMITED,NSE
AARTECH,AARTECH SOLONICS LIMITED,NSE
AARTIDRUGS,Aarti Drugs Ltd.,NSE
AARTIIND,Aarti Industries Ltd.,NSE
AARTIPHARM,AARTI PHARMALABS LIMITED,NSE
AARTI-RE,AARTI SURFACTANTS LIMITED,NSE
AARTISURF,AARTI SURFACTANTS LIMITED,NSE
AARVEEDEN,AARVEE DEN. & EXP. LTD,NSE
AARVI,AARVI ENCON LIMITED,NSE
AATMAJ,AATMAJ HEALTHCARE LIMITED,NSE
AAVAS,AAVAS FINANCIERS LIMITED,NSE
ABANLOYD,ABAN LOYD CHILES OFFSHORE LTD.,NSE
ABAN,Aban Offshore Ltd.,NSE
AHL,ABANS HOLDINGS LIMITED,NSE
ABB,ABB Limited,NSE
POWERINDIA,ABB POWER PRO N SYS IND L,NSE
ABBOTINDIA,ABBOTT INDIA LIMITED,NSE
ABGSHIP,ABG SHIPYARD LTD,NSE
ABHAPOWER,ABHA POWER N STEEL LTD,NSE
ABHISHEK,ABHISHEK CORPORATION LTD,NSE
ABSHEKINDS,Abhishek Industries Limited,NSE
AILIMITED,ABHISHEK INTEGRATIONS LTD,NSE
AML,ABHISHEK MILLS LTD,NSE
ABMINTLTD,ABM INTERNATIONAL LTD,NSE
ABMINTLLTD,ABM INTERNATIONAL LTD,NSE
ABSMARINE,ABS MARINE SERVICES LTD,NSE
ACC,ACC Limited,NSE
AFL,ACCEL FRONTLINE LTD,NSE
ACCELYA,ACCELYA KALE SOLUTION LTD,NSE
ACCENTMIC,ACCENT MICROCELL LIMITED,NSE
ACCORD,ACCORD SYNERGY LIMITED,NSE
ACCURACY,ACCURACY SHIPPING LIMITED,NSE
ACEINTEG,ACE INTEGRATED SOLU. LTD.,NSE
ACKRUTI,ACKRUTI CITY LIMITED,NSE
ACMESOLAR,ACME SOLAR HOLDINGS LTD,NSE
ACROPETAL,ACROPETAL TECH LTD,NSE
ACRYSIL,ACRYSIL LIMITED,NSE
ACE,Action Construction Equipment Limited,NSE
ADANIENSOL,ADANI ENERGY SOLUTION LTD,NSE
ADANIENT,Adani Enterprises Limited,NSE
ADANIEXPO,Adani Exports Ltd,NSE
ADANIGAS,ADANI GAS LIMITED,NSE
ADANIGREEN,ADANI GREEN ENERGY LTD,NSE
ADANIPORTS,ADANI PORT & SEZ LTD,NSE
ADANIPOWER,ADANI POWER LTD,NSE
ATGL,ADANI TOTAL GAS LIMITED,NSE
ADANITRANS,ADANI TRANSMISSION LTD,NSE
AWL,ADANI WILMAR LIMITED,NSE
LAWSIKHO,ADDICTIVE LEARNING TECH L,NSE
ADFFOODS,ADF FOODS LIMITED,NSE
ADHUNIKIND,ADHUNIK INDUSTRIES LTD,NSE
ADHUNIK,Adhunik Metaliks Limited,NSE
ADI,ADI FINECHEM LIMITED,NSE
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,NSE
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,NSE
ABCIL,ADITYA BIRLA CHEM (I) LTD,NSE
ABFRL,ADITYA BIRLA FASHION & RT,NSE
ABFRL-RE,ADITYA BIRLA FASHION RE,NSE
BIRLAMONEY,ADITYA BIRLA MONEY LTD,NSE
ABIRLANUVO,Aditya Birla Nuvo Limited,NSE
ABREL,ADITYA BIRLA REAL EST LTD,NSE
AUSL,ADITYA ULTRA STEEL LTD,NSE
AVL,ADITYA VISION LIMITED,NSE
ADLABS,ADLABS ENTERTAINMENT LTD.,NSE
ADLABSFILM,Adlabs Films Limited,NSE
ADORWELD,Ador Welding Limited,NSE
ADROITINFO,ADROIT INFOTECH LIMITED,NSE
ADRO-RE,ADROIT INFOTECH LIMITED,NSE
AMTL,ADV METERING TECH LTD,NSE
ADVENZYMES,ADVANCED ENZYME TECH LTD,NSE
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,NSE
ADVANTA,ADVANTA INDIA LTD,NSE
AEGISLOG,AEGIS LOGISTICS LIMITED,NSE
AEGISCHEM,Aegis Logistics Limited,NSE
AEROFLEX,AEROFLEX INDUSTRIES LTD,NSE
AERON,AERON COMPOSITE LIMITED,NSE
AESTHETIK,AESTHETIK ENGINEERS LTD,NSE
AETHER,AETHER INDUSTRIES LIMITED,NSE
AFCONS,AFCONS INFRASTRUCTURE LTD,NSE
AFFLE,AFFLE (INDIA) LIMITED,NSE
AFFORDABLE,AFFORD ROBO & AUTO LTD,NSE
AFTEK,AFTEK  LIMITED,NSE
AFTEKINFO,Aftek Infosys Limited,NSE
AGARWALFT,AGARWAL FLOAT GLASS I LTD,NSE
AGARIND,AGARWAL INDS CORP LTD.,NSE
AGARWALTUF,AGARWAL TOUGH GLASS IND L,NSE
AGCNET,AGC NETWORKS LIMITED,NSE
AGI,AGI GREENPAC LIMITED,NSE
AGIIL,AGI INFRA LIMITED,NSE
AGNI,AGNI GREEN POWER LTD,NSE
